ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K02319;12544;7630;8011;7688;11955;14229;20564;7578
ko:K02322;4;0;0;0;13;7;6;2
ko:K02323;2;2;2;3;2;4;1;0
ko:K02334;0;0;0;1;0;0;0;0
ko:K02335;281;230;105;207;78;66;65;43
ko:K02336;9;5;4;7;4;3;0;0
ko:K02337;388;284;171;267;107;124;74;51
ko:K02338;283;268;159;248;147;79;75;39
ko:K02339;2;12;0;3;3;1;2;0
ko:K02340;155;99;41;49;18;12;5;16
ko:K02341;91;61;44;76;15;1;6;3
ko:K02342;144;93;84;95;53;31;29;4
ko:K02343;476;365;182;249;58;45;35;48
ko:K02346;51;21;39;50;11;7;10;4
ko:K02347;82;70;59;71;17;14;12;8
ko:K02348;1;1;8;4;3;0;0;0
ko:K02351;56;24;18;23;4;7;6;8
ko:K02352;0;0;5;2;0;0;0;2
ko:K02355;2223;1741;1094;1447;1158;897;684;484
ko:K02356;213;218;130;183;133;92;60;51
ko:K02357;338;271;135;221;118;103;74;47
ko:K02358;2942;3039;1600;2555;2335;1482;1351;1023
ko:K02359;5;0;0;0;0;0;0;0
ko:K02361;11;5;9;14;2;0;4;3
ko:K02362;2;0;2;4;0;0;0;0
ko:K02363;1;0;0;2;0;0;0;0
ko:K02364;5;8;0;4;11;5;2;0
ko:K02371;6;7;1;11;14;17;9;2
ko:K02372;48;39;46;63;22;21;18;7
ko:K02377;60;40;60;80;34;5;11;8
ko:K02379;43;37;24;21;17;4;8;4
ko:K02380;2;2;3;27;0;0;1;1
ko:K02381;16;4;8;2;3;6;7;3
ko:K02383;0;0;0;0;0;2;0;0
ko:K02385;1;0;2;3;0;0;0;0
ko:K02386;10;3;11;20;8;0;0;0
ko:K02387;5;3;11;13;6;0;1;2
ko:K02388;10;6;11;24;29;4;3;4
ko:K02389;7;4;13;22;19;6;0;0
ko:K02390;41;45;62;89;66;7;12;11
ko:K02391;4;4;4;4;12;2;0;1
ko:K02392;17;20;28;35;50;7;3;3
ko:K02393;2;12;16;13;27;0;0;3
ko:K02394;8;10;22;13;24;3;0;2
ko:K02395;16;14;6;5;5;0;3;0
ko:K02396;28;29;61;135;36;10;7;4
ko:K02397;12;20;26;40;20;1;4;0
ko:K02398;3;14;7;8;25;6;0;0
ko:K02399;0;0;0;0;15;0;0;2
ko:K02400;14;4;29;32;32;12;4;5
ko:K02401;11;40;23;21;5;0;4;3
ko:K02402;6;14;7;1;11;2;2;0
ko:K02403;0;0;2;4;18;2;0;0
ko:K02404;6;13;12;11;19;8;0;2
ko:K02405;106;170;104;191;36;29;38;20
ko:K02406;306;255;712;1143;796;148;84;93
ko:K02407;61;50;54;86;58;2;6;9
ko:K02408;7;9;7;21;12;2;1;0
ko:K02409;26;17;39;48;25;6;7;5
ko:K02410;12;5;24;26;30;10;3;5
ko:K02411;2;4;7;10;11;1;0;0
ko:K02412;16;19;16;29;13;3;0;3
ko:K02413;0;2;5;11;3;5;0;1
ko:K02414;8;9;37;49;8;0;1;0
ko:K02415;9;3;18;15;12;0;3;6
ko:K02416;7;35;29;16;23;5;8;7
ko:K02417;15;8;7;7;13;2;7;4
ko:K02418;0;1;7;8;5;1;0;0
ko:K02419;8;6;8;6;4;4;1;1
ko:K02420;5;3;2;4;2;4;1;2
ko:K02421;4;7;2;0;7;1;0;0
ko:K02422;4;3;10;22;14;0;3;0
ko:K02423;3;5;0;0;3;0;0;0
ko:K02424;3;10;13;16;6;10;3;0
ko:K02426;27;18;10;14;6;9;3;3
ko:K02427;20;41;6;8;10;6;3;0
ko:K02428;100;64;33;59;12;20;6;4
ko:K02429;2;4;0;4;37;34;16;12
ko:K02430;0;0;0;0;0;0;0;0
ko:K02431;2;1;0;4;0;1;0;2
ko:K02433;270;210;144;204;105;69;54;24
ko:K02434;180;142;62;86;87;40;37;32
ko:K02435;33;40;17;24;11;4;10;2
ko:K02436;0;0;0;0;0;0;0;0
ko:K02437;93;81;51;62;20;17;7;4
ko:K02438;22;18;19;47;33;25;21;11
ko:K02439;0;0;0;0;1;0;0;0
ko:K02440;75;25;23;63;37;47;15;13
ko:K02441;2;2;4;0;0;0;0;0
ko:K02442;0;0;0;0;2;0;0;0
ko:K02443;0;0;0;0;0;0;0;0
ko:K02444;14;5;10;28;4;0;0;0
ko:K02445;22;25;20;26;0;0;0;0
ko:K02446;407;277;112;112;26;33;29;23
ko:K02448;2;0;0;0;13;4;4;2
ko:K02450;49;16;80;89;18;12;19;25
ko:K02451;21;9;1;10;2;0;2;0
ko:K02452;27;19;17;35;19;4;4;0
ko:K02453;274;323;426;649;165;85;71;39
ko:K02454;140;216;271;483;136;89;65;44
ko:K02455;77;67;162;168;43;8;9;7
ko:K02456;340;338;1996;2427;96;72;56;31
ko:K02457;33;27;12;14;5;2;5;2
ko:K02458;19;23;33;19;8;0;1;2
ko:K02459;14;24;7;30;6;0;2;4
ko:K02460;25;31;8;28;7;0;7;4
ko:K02461;46;75;36;55;13;5;3;4
ko:K02462;23;7;7;16;3;2;0;2
ko:K02463;27;40;6;7;9;0;0;0
ko:K02464;0;0;0;0;2;0;0;0
ko:K02466;0;2;0;0;0;0;0;0
ko:K02468;0;0;0;0;0;0;0;0
ko:K02469;730;602;334;431;244;159;113;95
ko:K02470;720;578;352;465;234;180;166;83
ko:K02471;0;2;0;2;9;4;13;4
ko:K02472;57;106;14;26;68;54;50;17
ko:K02473;10;18;38;52;12;13;14;4
ko:K02474;57;149;32;56;41;29;11;18
ko:K02475;0;0;0;0;0;2;0;0
ko:K02476;3;0;0;2;0;7;0;0
ko:K02477;57;26;29;76;35;21;12;8
ko:K02478;10;15;21;43;0;3;2;3
ko:K02479;42;34;25;20;7;14;10;6
ko:K02480;38;27;13;4;9;6;0;1
ko:K02481;70;55;109;175;68;36;125;72
ko:K02482;72;96;75;100;20;22;25;12
ko:K02483;98;94;103;165;102;77;61;37
ko:K02484;132;89;62;102;17;21;25;14
ko:K02485;15;13;19;33;9;0;1;2
ko:K02486;8;10;10;3;2;0;4;3
ko:K02487;350;376;174;291;101;29;23;24
ko:K02488;65;23;49;74;25;19;8;13
ko:K02489;0;0;0;0;0;0;0;0
ko:K02490;0;0;13;5;0;0;1;0
ko:K02491;0;0;0;0;0;0;0;0
ko:K02492;218;171;100;82;56;24;33;15
ko:K02493;70;33;29;33;4;9;2;6
ko:K02494;10;3;2;1;5;0;0;0
ko:K02495;0;2;2;2;0;0;0;0
ko:K02496;12;21;7;3;5;4;0;1
ko:K02497;0;0;0;0;0;0;0;0
ko:K02498;18;24;8;12;20;3;3;0
ko:K02499;44;24;20;20;7;2;1;5
ko:K02500;73;61;22;41;17;25;8;10
ko:K02501;52;33;26;19;16;8;5;3
ko:K02502;68;38;7;33;14;15;11;7
ko:K02503;59;46;25;31;10;10;7;2
ko:K02504;17;35;28;97;25;18;12;13
ko:K02505;0;0;1;0;3;1;0;0
ko:K02506;0;0;0;0;0;0;0;0
ko:K02507;3;7;5;8;11;6;1;4
ko:K02508;0;0;0;0;0;0;0;0
ko:K02509;6;4;1;5;4;4;0;1
ko:K02510;108;36;59;72;57;38;22;17
ko:K02511;0;0;0;0;0;0;0;0
ko:K02517;49;29;19;51;6;5;6;5
ko:K02518;103;126;58;65;66;71;73;39
ko:K02519;1098;861;707;892;469;437;443;278
ko:K02520;682;592;413;485;355;447;339;220
ko:K02521;0;0;0;0;0;0;0;0
ko:K02523;110;83;60;107;48;20;22;19
ko:K02525;2;2;0;0;2;1;0;0
ko:K02526;0;0;0;0;0;1;0;0
ko:K02527;27;24;25;44;9;9;0;0
ko:K02528;54;28;21;42;6;7;4;0
ko:K02529;258;155;216;198;84;55;54;27
ko:K02532;0;0;0;0;0;0;0;0
ko:K02533;27;15;9;4;5;1;1;0
ko:K02535;57;74;188;218;72;13;19;26
ko:K02536;111;51;52;76;19;15;7;1
ko:K02538;0;0;0;0;0;0;0;0
ko:K02545;0;0;0;0;0;0;0;0
ko:K02546;0;0;0;6;0;0;0;0
ko:K02548;36;32;10;5;2;4;3;3
ko:K02549;35;31;20;26;5;5;6;2
ko:K02550;3;2;0;0;1;0;0;0
ko:K02551;29;19;15;8;5;2;2;0
ko:K02552;51;32;14;18;3;3;4;3
ko:K02553;7;2;1;2;1;2;1;0
ko:K02554;15;10;6;6;4;3;6;0
ko:K02556;6;16;31;33;35;3;2;10
ko:K02557;60;157;52;75;23;18;5;19
ko:K02558;52;50;16;65;19;7;9;11
ko:K02563;87;63;47;65;30;27;14;4
ko:K02564;93;57;59;87;21;15;14;9
ko:K02565;64;33;8;6;2;40;7;9
ko:K02566;22;14;15;14;6;12;3;4
ko:K02567;3;2;5;14;153;24;20;8
ko:K02568;0;0;0;0;15;0;0;0
ko:K02569;0;0;0;0;45;4;0;1
ko:K02570;0;0;0;0;7;0;0;0
ko:K02571;0;0;0;0;0;0;0;0
ko:K02572;0;2;3;2;2;5;4;11
ko:K02573;0;6;12;13;4;3;0;0
ko:K02574;0;0;0;0;11;0;0;0
ko:K02575;6;4;3;1;306;11;4;7
ko:K02584;14;17;40;49;7;10;13;14
ko:K02585;0;0;0;0;0;0;0;0
ko:K02586;0;0;0;0;0;0;0;0
ko:K02587;29;7;0;1;6;1;0;0
ko:K02588;0;0;0;0;0;0;0;0
ko:K02589;0;0;0;0;0;0;0;0
ko:K02590;0;0;0;0;0;0;0;0
ko:K02591;0;0;0;0;0;0;0;0
ko:K02593;0;0;0;0;0;0;0;0
ko:K02594;18;11;5;4;5;2;1;2
ko:K02595;0;0;0;0;0;0;0;0
ko:K02596;0;0;0;0;0;0;0;0
ko:K02597;4;0;0;0;0;0;0;0
ko:K02598;0;0;0;0;2;3;0;0
ko:K02600;596;520;313;506;216;179;180;102
ko:K02601;324;249;233;277;131;153;130;78
ko:K02609;65;50;24;63;122;28;12;14
ko:K02610;7;1;11;9;21;5;2;6
ko:K02611;21;22;18;22;41;1;7;1
ko:K02612;23;14;8;14;8;0;2;1
ko:K02613;3;12;6;4;29;13;10;2
ko:K02614;7;7;0;6;3;0;4;1
ko:K02615;13;4;2;2;2;0;0;0
ko:K02616;14;3;13;3;5;0;1;7
ko:K02617;6;0;3;6;8;0;1;0
ko:K02618;13;5;11;42;46;5;10;10
ko:K02619;69;62;24;24;35;36;12;29
ko:K02621;57;66;42;48;40;19;16;5
ko:K02622;69;83;62;125;41;37;30;14
ko:K02623;0;0;0;0;0;0;0;0
ko:K02624;77;38;12;22;0;3;1;0
ko:K02625;0;0;0;0;0;0;0;0
ko:K02626;4;2;4;3;4;6;9;0
ko:K02631;2;0;7;12;1;0;0;0
ko:K02632;1;2;0;0;0;0;0;0
ko:K02634;1;0;0;0;0;0;0;0
ko:K02635;16;15;2;3;0;0;1;0
ko:K02636;47;35;27;18;13;10;3;5
ko:K02637;15;7;0;0;0;0;0;0
ko:K02638;57;43;13;18;11;14;8;3
ko:K02639;0;2;1;0;1;0;0;0
ko:K02640;0;0;0;0;0;0;0;0
ko:K02641;1;0;0;2;1;7;1;6
ko:K02643;0;0;0;0;0;0;0;0
ko:K02647;7;10;2;0;0;0;2;1
ko:K02650;745;1131;1317;1769;280;48;53;20
ko:K02651;105;79;144;228;32;26;15;26
ko:K02652;394;415;507;814;187;155;145;110
ko:K02653;298;248;357;448;98;88;67;63
ko:K02654;74;67;28;25;6;6;2;0
ko:K02655;346;423;30;52;98;10;9;9
ko:K02656;37;42;32;35;15;5;6;3
ko:K02657;24;54;24;32;20;15;8;6
ko:K02658;70;81;63;62;25;3;8;7
ko:K02659;44;40;4;9;26;0;0;0
ko:K02660;199;259;45;100;117;48;12;15
ko:K02661;0;0;0;2;4;4;2;0
ko:K02662;312;384;311;501;101;122;109;62
ko:K02663;71;151;64;92;31;13;11;11
ko:K02664;83;128;60;89;20;16;4;9
ko:K02665;57;91;15;35;9;8;7;8
ko:K02666;344;574;317;491;144;66;47;51
ko:K02667;52;68;30;22;16;13;13;7
ko:K02668;40;36;58;102;7;4;1;1
ko:K02669;455;479;368;517;170;153;129;83
ko:K02670;91;102;15;45;55;19;17;18
ko:K02671;106;153;32;54;9;0;2;1
ko:K02672;56;137;96;118;7;2;5;2
ko:K02673;0;4;0;2;0;0;0;0
ko:K02674;367;651;197;427;52;13;21;14
ko:K02676;12;33;2;18;25;7;7;4
ko:K02679;114;118;728;771;14;2;0;0
ko:K02680;0;3;0;0;0;0;0;0
ko:K02681;0;8;21;22;0;0;0;1
ko:K02682;2;2;0;0;0;2;4;0
ko:K02683;0;0;0;0;0;0;0;0
ko:K02686;12;14;6;18;22;4;7;1
ko:K02687;95;65;43;59;16;7;7;7
ko:K02688;0;0;0;0;0;0;0;0
ko:K02689;79;37;4;5;0;0;0;1
ko:K02690;34;114;18;60;0;18;2;0
ko:K02691;0;0;0;0;0;0;0;0
ko:K02693;1;6;0;0;0;0;0;0
ko:K02696;0;0;0;0;0;0;0;0
ko:K02698;0;4;0;0;0;0;0;0
ko:K02699;0;0;0;0;0;0;0;0
ko:K02703;133;89;19;13;2;9;0;2
ko:K02704;0;0;0;0;0;0;0;1
ko:K02705;2;0;0;0;0;0;0;0
ko:K02706;81;42;15;3;2;0;0;0
ko:K02707;0;0;0;0;0;0;0;0
ko:K02717;0;0;0;0;0;0;0;0
ko:K02719;9;3;1;1;4;0;2;0
ko:K02720;0;0;0;0;0;0;0;0
ko:K02724;1;0;0;1;0;0;0;0
ko:K02742;0;0;0;0;0;0;0;0
ko:K02744;7;4;2;3;0;0;0;0
ko:K02745;0;0;0;0;0;0;0;0
ko:K02749;0;0;0;0;0;0;0;0
ko:K02750;0;0;0;0;0;0;0;0
ko:K02755;0;0;0;0;0;0;0;0
ko:K02756;0;0;0;0;0;0;0;0
ko:K02757;0;0;0;0;0;0;0;0
ko:K02759;0;0;0;0;0;0;0;0
ko:K02760;0;0;0;0;0;0;1;0
ko:K02761;0;0;0;0;0;0;0;0
ko:K02768;36;58;41;80;52;28;19;6
ko:K02769;13;22;6;21;30;19;9;1
ko:K02770;13;22;6;21;30;19;9;1
ko:K02773;0;0;0;0;0;0;0;0
ko:K02774;0;0;0;0;0;0;0;0
ko:K02775;0;0;0;0;1;0;0;0
ko:K02777;0;0;0;0;0;1;0;1
ko:K02778;0;0;0;2;2;4;5;0
ko:K02779;0;0;0;2;2;4;5;0
ko:K02781;1;2;0;0;0;0;0;0
ko:K02782;3;0;0;0;1;2;0;0
ko:K02783;3;1;0;0;4;4;2;2
ko:K02784;6;0;0;0;1;0;0;0
ko:K02790;0;0;0;0;0;0;0;0
ko:K02791;0;0;0;0;0;0;0;0
ko:K02793;107;70;776;577;1546;121;193;176
ko:K02794;8;2;1;0;1;0;0;0
ko:K02795;7;7;2;0;0;0;0;0
ko:K02796;11;11;5;5;0;0;0;0
ko:K02798;3;0;0;0;9;6;3;0
ko:K02799;3;0;0;0;36;4;2;1
ko:K02800;3;0;0;0;35;4;2;0
ko:K02802;0;0;0;0;0;1;2;1
ko:K02803;6;0;1;0;4;0;2;0
ko:K02804;9;0;0;2;4;0;2;0
ko:K02805;10;0;4;1;4;2;0;0
ko:K02806;60;69;45;56;43;18;14;12
ko:K02809;6;9;2;4;2;2;2;4
ko:K02810;6;9;2;4;2;2;2;4
ko:K02815;0;0;0;0;0;0;0;0
ko:K02818;0;0;0;0;0;0;0;0
ko:K02819;0;0;0;0;0;0;0;0
ko:K02821;5;5;5;1;9;0;0;0
ko:K02822;0;0;0;0;0;0;0;0
ko:K02823;36;25;10;30;2;0;1;3
ko:K02824;18;11;12;28;20;4;10;2
ko:K02825;77;29;19;44;16;17;7;20
ko:K02826;2;2;2;0;0;0;0;0
ko:K02827;8;6;14;12;5;2;0;6
ko:K02834;48;45;27;38;25;20;11;10
ko:K02835;183;156;67;97;25;26;17;19
ko:K02836;200;124;69;109;87;58;39;33
ko:K02837;109;81;63;67;56;36;15;7
ko:K02838;174;207;71;128;64;54;43;39
ko:K02839;14;4;0;0;2;5;1;0
ko:K02841;17;11;14;19;4;5;3;1
ko:K02843;53;28;49;47;7;12;7;4
ko:K02844;7;7;20;15;4;2;7;0
ko:K02846;7;0;1;6;0;2;0;0
ko:K02847;33;27;21;27;2;5;0;2
ko:K02848;2;4;0;0;2;0;0;0
ko:K02849;15;11;24;23;2;3;4;1
ko:K02850;0;0;0;0;0;0;0;0
ko:K02851;104;70;49;85;37;21;10;10
ko:K02853;0;0;3;1;0;0;0;0
ko:K02854;0;2;0;2;0;0;2;0
ko:K02855;0;0;0;0;2;0;0;0
ko:K02856;0;0;0;0;1;0;2;1
ko:K02858;12;5;10;4;3;12;6;1
ko:K02860;77;64;30;59;23;4;5;5
ko:K02862;24;5;0;2;0;0;0;0
ko:K02863;498;390;314;525;289;213;205;119
ko:K02864;675;785;286;536;300;199;171;102
ko:K02866;0;0;0;0;5;6;3;0
ko:K02867;288;343;199;304;217;151;130;104
ko:K02871;458;528;268;471;384;263;143;128
ko:K02874;191;228;146;225;147;102;95;64
ko:K02876;275;206;145;264;127;80;42;17
ko:K02877;7;10;0;5;8;14;5;5
ko:K02878;271;253;159;266;174;105;95;71
ko:K02879;241;303;225;373;126;100;77;43
ko:K02881;171;128;114;225;80;62;50;21
ko:K02883;5;2;5;2;22;13;14;4
ko:K02884;296;327;183;293;200;131;98;64
ko:K02886;658;738;474;640;461;317;255;133
ko:K02887;272;255;200;366;180;131;141;69
ko:K02888;314;389;255;417;259;145;115;90
ko:K02890;229;256;144;199;120;100;46;51
ko:K02892;138;155;106;189;100;59;42;23
ko:K02895;160;177;104;185;137;67;64;34
ko:K02896;3;4;2;0;8;9;10;1
ko:K02897;414;361;313;497;157;111;70;42
ko:K02899;221;211;138;241;114;61;54;52
ko:K02902;189;166;105;180;78;59;40;28
ko:K02904;85;141;64;139;54;42;27;19
ko:K02906;447;520;339;620;335;226;141;102
ko:K02907;75;79;41;56;46;23;22;4
ko:K02909;198;223;132;196;82;64;45;26
ko:K02910;3;2;0;0;16;13;8;6
ko:K02911;75;53;70;98;22;11;14;8
ko:K02912;0;0;0;2;3;7;8;5
ko:K02913;68;111;60;55;16;9;8;17
ko:K02914;20;29;20;29;12;7;7;1
ko:K02916;157;176;111;175;85;49;44;28
ko:K02919;3;19;6;5;0;3;1;0
ko:K02924;1;0;0;0;2;3;1;1
ko:K02926;413;458;244;407;251;170;104;85
ko:K02927;0;0;0;0;0;0;0;0
ko:K02929;1;2;2;0;4;4;0;2
ko:K02931;406;449;246;384;241;175;112;85
ko:K02933;351;264;192;354;209;135;136;50
ko:K02935;473;618;323;533;191;134;91;73
ko:K02936;8;1;1;0;9;12;6;4
ko:K02939;279;279;149;229;100;63;52;23
ko:K02945;2165;2002;1220;1790;1417;1399;1283;819
ko:K02946;184;264;102;168;172;106;76;67
ko:K02948;310;305;235;368;173;175;178;77
ko:K02950;526;478;329;447;360;274;197;157
ko:K02952;380;413;251;313;237;214;184;103
ko:K02954;88;87;57;124;57;30;24;11
ko:K02956;227;301;185;224;132;107;118;67
ko:K02959;194;212;137;208;130;96;69;31
ko:K02961;183;208;109;170;114;55;57;29
ko:K02962;0;0;0;0;0;0;0;0
ko:K02963;185;175;111;203;116;32;48;40
ko:K02965;155;146;103;148;93;71;44;22
ko:K02966;0;0;0;0;5;3;1;0
ko:K02967;583;610;428;603;482;347;291;182
ko:K02968;226;263;163;233;116;65;57;58
ko:K02970;145;198;147;187;93;79;62;46
ko:K02975;7;10;2;0;22;12;3;6
ko:K02979;3;8;0;0;5;11;5;1
ko:K02982;612;618;318;654;403;304;226;157
ko:K02986;546;467;377;526;354;271;235;123
ko:K02988;437;421;231;409;227;118;116;64
ko:K02990;372;349;207;386;232;91;68;54
ko:K02991;0;0;0;0;0;1;0;0
ko:K02992;376;343;263;425;210;192;111;112
ko:K02994;254;258;152;270;120;82;80;41
ko:K02995;0;0;0;0;2;4;7;0
ko:K02996;303;288;211;261;141;116;74;90
ko:K03006;1;4;264;358;0;2;0;0
ko:K03014;0;0;2;0;6;2;2;0
ko:K03040;775;608;466;818;463;366;349;209
ko:K03041;14;8;3;2;44;51;37;10
ko:K03042;0;0;0;0;0;0;0;0
ko:K03043;2791;2183;1383;2237;1757;1628;1547;898
ko:K03044;0;0;0;0;0;0;0;0
ko:K03046;3112;2269;1704;2455;1834;1510;1561;959
ko:K03047;0;0;0;0;8;8;2;0
ko:K03048;0;0;0;0;0;0;0;0
ko:K03049;12;2;9;2;13;18;16;2
ko:K03051;3;3;0;0;8;3;2;0
ko:K03053;0;2;2;0;1;3;2;0
ko:K03056;1;1;0;0;2;1;1;0
ko:K03057;0;0;0;0;0;0;0;0
ko:K03059;0;0;0;0;2;0;0;0
ko:K03060;165;155;98;136;56;63;40;32
ko:K03070;1105;828;435;556;346;282;233;159
ko:K03071;57;60;15;32;55;18;19;2
ko:K03072;468;439;174;282;115;90;62;50
ko:K03073;114;130;84;120;36;28;22;12
ko:K03074;176;143;84;127;24;33;41;16
ko:K03075;90;75;71;87;42;25;12;8
ko:K03076;748;567;265;441;262;166;157;87
ko:K03077;0;2;6;4;6;6;6;3
ko:K03078;0;0;0;0;0;0;0;0
ko:K03079;18;2;29;34;10;9;16;3
ko:K03086;3087;2292;1568;1888;910;887;766;491
ko:K03087;222;137;66;74;86;76;43;28
ko:K03088;2033;1542;1712;2223;670;609;558;391
ko:K03089;178;295;160;218;171;134;126;78
ko:K03090;171;96;73;81;82;118;154;32
ko:K03091;73;69;112;103;13;15;16;10
ko:K03092;163;146;129;258;161;115;110;81
ko:K03093;18;18;13;20;61;62;33;25
ko:K03095;0;0;0;0;0;0;0;0
ko:K03098;2;0;0;0;3;13;0;2
ko:K03100;210;168;106;161;44;49;41;29
ko:K03101;58;46;30;30;19;14;10;7
ko:K03105;0;0;0;0;0;0;0;0
ko:K03106;388;296;128;244;149;104;88;61
ko:K03110;138;94;44;46;31;20;22;11
ko:K03111;418;360;220;275;119;85;64;45
ko:K03112;2;5;15;5;0;10;2;1
ko:K03113;1;2;2;8;0;0;0;0
ko:K03116;248;247;126;177;72;45;63;17
ko:K03117;110;104;34;44;24;20;13;8
ko:K03118;132;76;54;46;45;19;20;17
ko:K03119;18;7;23;17;17;19;22;7
ko:K03120;0;0;0;0;0;0;0;0
ko:K03124;4;2;2;2;13;16;36;13
ko:K03136;0;2;4;0;11;5;24;6
ko:K03146;2;1;1;0;9;0;7;3
ko:K03147;196;196;107;152;94;64;42;54
ko:K03148;14;11;11;15;0;1;4;2
ko:K03149;88;94;46;66;32;15;11;12
ko:K03150;13;14;1;0;0;0;0;5
ko:K03151;5;0;9;16;0;0;2;2
ko:K03152;8;4;0;6;0;3;2;0
ko:K03153;45;62;17;43;7;5;1;2
ko:K03154;8;13;8;6;3;0;3;1
ko:K03163;0;0;0;0;1;2;3;0
ko:K03166;2;0;1;5;4;0;3;0
ko:K03167;0;0;13;10;4;1;8;1
ko:K03168;593;454;293;370;168;185;82;71
ko:K03169;146;121;112;109;66;39;28;17
ko:K03177;60;42;27;66;45;24;8;20
ko:K03179;52;23;18;19;7;4;4;5
ko:K03181;18;11;2;0;0;0;1;0
ko:K03182;68;64;21;50;15;22;15;10
ko:K03183;103;84;51;86;36;31;10;6
ko:K03184;4;16;1;2;7;0;0;0
ko:K03185;18;20;2;13;23;2;4;2
ko:K03186;20;13;14;25;18;7;11;0
ko:K03187;0;1;4;0;3;0;0;0
ko:K03188;2;6;4;6;1;1;0;4
ko:K03189;10;9;4;6;4;3;5;7
ko:K03190;4;2;0;4;1;9;5;3
ko:K03191;2;0;0;0;0;0;0;0
ko:K03192;12;11;6;12;7;0;0;1
ko:K03194;4;0;0;0;5;2;1;0
ko:K03195;8;3;18;24;0;4;4;2
ko:K03196;2;2;2;0;0;0;0;0
ko:K03197;1;0;0;0;0;0;0;0
ko:K03198;1;1;0;2;2;0;0;0
ko:K03199;20;17;8;18;2;5;0;0
ko:K03200;4;2;0;0;0;0;2;0
ko:K03201;5;1;2;11;0;0;1;0
ko:K03202;0;0;0;0;0;0;0;0
ko:K03203;2;5;0;2;0;0;0;0
ko:K03204;0;6;8;4;0;0;0;0
ko:K03205;14;16;6;6;1;3;2;0
ko:K03206;0;0;0;0;0;0;0;0
ko:K03207;0;2;0;0;2;0;1;0
ko:K03208;6;7;5;10;2;3;4;0
ko:K03210;55;84;53;53;26;20;11;7
ko:K03212;0;0;0;2;0;0;0;0
ko:K03214;5;14;4;1;0;0;0;0
ko:K03215;99;65;35;67;20;12;8;10
ko:K03216;5;3;4;5;5;2;0;2
ko:K03217;246;217;127;222;80;43;46;27
ko:K03218;38;40;36;64;16;5;10;9
ko:K03219;0;6;20;21;4;0;1;1
ko:K03220;0;0;6;5;9;8;10;17
ko:K03221;0;0;0;0;0;0;0;0
ko:K03222;19;24;6;9;0;2;2;3
ko:K03223;5;7;0;2;0;0;0;0
ko:K03224;9;14;9;18;2;2;4;0
ko:K03225;6;4;2;5;11;1;3;0
ko:K03226;5;17;0;2;0;1;2;0
ko:K03227;0;0;0;0;0;0;1;1
ko:K03228;0;0;0;0;0;0;0;0
ko:K03229;0;0;0;2;0;2;0;2
ko:K03230;18;57;10;11;2;1;2;0
ko:K03231;23;14;3;0;14;30;17;4
ko:K03232;0;0;0;0;0;0;0;0
ko:K03234;12;9;6;1;38;65;22;8
ko:K03236;4;5;1;0;2;9;8;0
ko:K03237;0;1;0;0;3;3;5;1
ko:K03238;0;0;0;0;3;4;4;2
ko:K03239;0;0;5;0;0;0;0;0
ko:K03242;1;0;2;0;8;11;13;2
ko:K03243;12;10;0;0;3;18;5;3
ko:K03263;0;0;0;0;2;4;3;0
ko:K03264;0;0;0;0;6;2;4;2
ko:K03265;102;71;14;28;18;25;16;4
ko:K03268;0;0;0;0;2;0;1;0
ko:K03269;18;30;6;7;3;5;2;2
ko:K03270;30;33;4;10;8;2;2;3
ko:K03271;462;291;73;124;51;82;25;18
ko:K03272;97;77;27;59;17;17;10;7
ko:K03273;30;32;26;40;9;7;7;2
ko:K03274;11;0;9;11;1;5;0;2
ko:K03275;0;0;0;0;0;0;0;0
ko:K03276;0;0;0;0;0;0;0;0
ko:K03277;0;0;0;0;0;0;0;0
ko:K03278;0;0;0;0;0;0;0;0
ko:K03279;0;0;0;0;0;0;0;0
ko:K03280;5;5;0;2;0;0;0;0
ko:K03281;45;24;19;49;7;9;4;0
ko:K03282;7;7;14;12;16;12;4;4
ko:K03284;99;89;40;65;32;32;18;7
ko:K03285;227;436;8;17;121;4;6;17
ko:K03286;733;1241;644;1195;557;234;172;92
ko:K03287;0;0;0;1;0;0;0;0
ko:K03288;0;0;0;0;0;0;0;0
ko:K03289;0;0;0;0;2;0;0;0
ko:K03290;0;4;0;0;2;2;0;0
ko:K03291;0;0;0;2;0;2;0;0
ko:K03292;4;3;4;4;3;3;0;0
ko:K03293;2;1;2;0;11;33;7;15
ko:K03294;234;206;197;255;148;121;91;58
ko:K03296;326;166;160;268;211;182;109;95
ko:K03297;4;4;2;0;0;0;0;0
ko:K03298;44;14;0;0;1;0;0;0
ko:K03299;5;6;9;29;13;16;6;2
ko:K03300;0;0;0;0;6;4;0;0
ko:K03301;14;21;33;70;1;2;4;2
ko:K03303;20;18;26;27;46;40;21;6
ko:K03304;0;0;0;0;0;0;0;0
ko:K03305;172;192;40;133;39;30;18;18
ko:K03306;75;53;50;97;42;34;18;7
ko:K03307;177;110;83;101;85;151;88;54
ko:K03308;146;70;14;27;4;0;0;2
ko:K03309;57;50;27;18;6;4;2;2
ko:K03310;126;58;30;44;4;0;1;0
ko:K03311;0;0;0;0;0;0;0;0
