ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K00185;180;225;88;164;94;85;70;50
ko:K00186;0;0;0;0;0;0;0;0
ko:K00187;0;0;0;0;0;0;0;0
ko:K00197;18;4;6;8;2;0;1;2
ko:K00198;0;0;0;0;0;0;0;0
ko:K00200;0;1;2;0;0;0;1;0
ko:K00201;0;0;0;2;2;1;2;2
ko:K00202;0;0;0;0;2;6;0;0
ko:K00203;1;0;0;0;0;0;0;0
ko:K00205;0;0;0;0;0;0;0;0
ko:K00207;0;0;8;8;0;0;0;0
ko:K00208;178;112;60;88;69;30;28;14
ko:K00209;0;1;12;18;5;6;1;0
ko:K00210;10;5;9;14;6;7;9;1
ko:K00211;0;0;0;8;0;0;0;0
ko:K00213;0;0;0;0;0;0;0;0
ko:K00214;2;0;0;0;0;0;0;0
ko:K00215;56;47;25;45;23;12;10;9
ko:K00216;1;7;0;0;0;0;1;2
ko:K00217;3;0;0;0;6;0;4;2
ko:K00218;0;2;4;4;0;0;0;0
ko:K00219;43;60;11;19;13;3;4;4
ko:K00220;2;0;7;11;6;5;4;1
ko:K00221;5;5;2;7;0;0;1;0
ko:K00222;0;0;0;0;0;0;0;0
ko:K00223;0;0;0;0;0;0;0;0
ko:K00226;5;4;1;5;15;8;0;9
ko:K00227;0;0;4;2;0;0;0;0
ko:K00228;10;16;12;13;6;5;2;1
ko:K00230;0;0;2;0;4;2;0;0
ko:K00231;28;15;28;16;6;4;9;0
ko:K00232;6;9;3;5;7;0;6;1
ko:K00239;579;466;289;408;366;277;183;124
ko:K00240;289;205;144;158;160;91;59;42
ko:K00241;137;76;81;62;60;46;28;20
ko:K00242;41;38;11;15;18;8;4;3
ko:K00243;2;2;2;4;4;0;0;0
ko:K00244;54;81;13;37;45;6;7;15
ko:K00245;16;29;9;20;19;9;4;4
ko:K00246;0;0;0;2;5;2;0;1
ko:K00247;11;0;0;5;11;9;0;2
ko:K00248;228;189;114;109;64;68;58;26
ko:K00249;320;306;198;300;208;163;115;82
ko:K00252;190;156;81;82;107;82;52;25
ko:K00253;25;31;20;47;27;9;7;9
ko:K00254;35;40;30;40;16;15;5;12
ko:K00255;9;15;6;10;4;6;2;1
ko:K00256;2;0;0;0;3;8;5;6
ko:K00257;6;5;0;2;0;0;0;3
ko:K00259;233;232;79;124;101;65;32;46
ko:K00260;2;3;1;0;13;5;2;12
ko:K00261;255;250;128;212;91;60;66;48
ko:K00262;73;56;32;66;40;11;11;5
ko:K00263;98;97;31;50;12;3;1;2
ko:K00265;900;594;356;490;384;265;178;112
ko:K00266;117;110;98;175;95;44;25;36
